# assembly_accession,asm_name,ftp_path,index,ncbi_assembly_level,ncbi_assembly_name,ncbi_bioproject,ncbi_biosample,ncbi_genbank_assembly_accession,ncbi_genome_representation,ncbi_organism_name,ncbi_refseq_category,parsed_genome_accession,srr_accession
GCA_002898395.1,ASM289839v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/898/395/GCA_002898395.1_ASM289839v1,GCA_002898395.1,Contig,ASM289839v1,PRJDB6348,SAMD00093752,GCA_002898395.1,full,archaeon HR02,na,GCA_002898395.1,
GCA_002898655.1,ASM289865v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/898/655/GCA_002898655.1_ASM289865v1,GCA_002898655.1,Contig,ASM289865v1,PRJDB6348,SAMD00093754,GCA_002898655.1,full,archaeon HR04,na,GCA_002898655.1,
GCA_002899805.1,ASM289980v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/899/805/GCA_002899805.1_ASM289980v1,GCA_002899805.1,Contig,ASM289980v1,PRJNA419931,SAMN08107307,GCA_002899805.1,full,Fervidicoccus sp.,na,GCA_002899805.1,
GCA_002900535.1,ASM290053v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/900/535/GCA_002900535.1_ASM290053v1,GCA_002900535.1,Contig,ASM290053v1,PRJNA360036,SAMN06205424,GCA_002900535.1,full,Thermoplasmata archaeon M9B1D,na,GCA_002900535.1,
GCA_002900555.1,ASM290055v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/900/555/GCA_002900555.1_ASM290055v1,GCA_002900555.1,Contig,ASM290055v1,PRJNA360036,SAMN06205425,GCA_002900555.1,full,Thermoplasmata archaeon M9B2D,na,GCA_002900555.1,
GCA_002906575.1,ASM290657v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/906/575/GCA_002906575.1_ASM290657v1,GCA_002906575.1,Complete Genome,ASM290657v1,PRJNA224116,SAMN08381148,GCA_002906575.1,full,Salinigranum rubrum,na,GCF_002906575.1,
GCA_002923215.1,ASM292321v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/923/215/GCA_002923215.1_ASM292321v1,GCA_002923215.1,Contig,ASM292321v1,PRJDB5792,SAMD00081376,GCA_002923215.1,full,archaeon BMS3Abin16,na,GCA_002923215.1,
GCA_002926195.1,ASM292619v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/926/195/GCA_002926195.1_ASM292619v1,GCA_002926195.1,Scaffold,ASM292619v1,PRJNA290197,SAMN06562579,GCA_002926195.1,full,ANME-2 cluster archaeon HR1,na,GCA_002926195.1,
GCA_002945325.1,ASM294532v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/945/325/GCA_002945325.1_ASM294532v1,GCA_002945325.1,Complete Genome,ASM294532v1,PRJNA224116,SAMN08466362,GCA_002945325.1,full,Methanococcus maripaludis,na,GCF_002945325.1,
GCA_003009755.1,ASM300975v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/009/755/GCA_003009755.1_ASM300975v1,GCA_003009755.1,Scaffold,ASM300975v1,PRJNA351262,SAMN06020844,GCA_003009755.1,full,Thermoplasmatales archaeon SW_10_69_26,na,GCA_003009755.1,
GCA_003009795.1,ASM300979v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/009/795/GCA_003009795.1_ASM300979v1,GCA_003009795.1,Contig,ASM300979v1,PRJNA351262,SAMN06020717,GCA_003009795.1,full,Nanohaloarchaea archaeon SW_7_43_1,na,GCA_003009795.1,
GCA_003009815.1,ASM300981v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/009/815/GCA_003009815.1_ASM300981v1,GCA_003009815.1,Scaffold,ASM300981v1,PRJNA351262,SAMN06020716,GCA_003009815.1,full,Nanohaloarchaea archaeon SW_4_43_9,na,GCA_003009815.1,
GCA_003019535.1,ASM301953v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/019/535/GCA_003019535.1_ASM301953v1,GCA_003019535.1,Contig,ASM301953v1,PRJNA362583,SAMN06639949,GCA_003019535.1,full,Candidatus Marsarchaeota G2 archaeon ECH_B_1,na,GCA_003019535.1,
GCA_003019595.1,ASM301959v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/019/595/GCA_003019595.1_ASM301959v1,GCA_003019595.1,Contig,ASM301959v1,PRJNA362583,SAMN06639946,GCA_003019595.1,full,Candidatus Marsarchaeota G1 archaeon BE_D,na,GCA_003019595.1,
GCA_003020925.1,ASM302092v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/020/925/GCA_003020925.1_ASM302092v1,GCA_003020925.1,Scaffold,ASM302092v1,PRJNA351262,SAMN06020784,GCA_003020925.1,full,Halobacteriales archaeon QS_6_64_34,na,GCA_003020925.1,
GCA_003020945.1,ASM302094v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/020/945/GCA_003020945.1_ASM302094v1,GCA_003020945.1,Scaffold,ASM302094v1,PRJNA351262,SAMN06020785,GCA_003020945.1,full,Halobacteriales archaeon QS_6_71_20,na,GCA_003020945.1,
GCA_003020965.1,ASM302096v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/020/965/GCA_003020965.1_ASM302096v1,GCA_003020965.1,Scaffold,ASM302096v1,PRJNA351262,SAMN06020776,GCA_003020965.1,full,Halobacteriales archaeon QS_4_69_225,na,GCA_003020965.1,
GCA_003020985.1,ASM302098v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/020/985/GCA_003020985.1_ASM302098v1,GCA_003020985.1,Scaffold,ASM302098v1,PRJNA351262,SAMN06020777,GCA_003020985.1,full,Halobacteriales archaeon QS_4_70_19,na,GCA_003020985.1,
GCA_003021005.1,ASM302100v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/005/GCA_003021005.1_ASM302100v1,GCA_003021005.1,Scaffold,ASM302100v1,PRJNA351262,SAMN06020773,GCA_003021005.1,full,Halobacteriales archaeon QS_1_69_70,na,GCA_003021005.1,
GCA_003021015.1,ASM302101v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/015/GCA_003021015.1_ASM302101v1,GCA_003021015.1,Scaffold,ASM302101v1,PRJNA351262,SAMN06020775,GCA_003021015.1,full,Halobacteriales archaeon QS_4_66_20,na,GCA_003021015.1,
GCA_003021045.1,ASM302104v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/045/GCA_003021045.1_ASM302104v1,GCA_003021045.1,Scaffold,ASM302104v1,PRJNA351262,SAMN06020778,GCA_003021045.1,full,Halobacteriales archaeon QS_4_69_34,na,GCA_003021045.1,
GCA_003021085.1,ASM302108v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/085/GCA_003021085.1_ASM302108v1,GCA_003021085.1,Scaffold,ASM302108v1,PRJNA351262,SAMN06020769,GCA_003021085.1,full,Halobacteriales archaeon QS_1_68_20,na,GCA_003021085.1,
GCA_003021105.1,ASM302110v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/105/GCA_003021105.1_ASM302110v1,GCA_003021105.1,Scaffold,ASM302110v1,PRJNA351262,SAMN06020771,GCA_003021105.1,full,Halobacteriales archaeon QS_1_68_17,na,GCA_003021105.1,
GCA_003021175.1,ASM302117v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/175/GCA_003021175.1_ASM302117v1,GCA_003021175.1,Scaffold,ASM302117v1,PRJNA351262,SAMN06020760,GCA_003021175.1,full,Halobacteriales archaeon QH_7_66_36,na,GCA_003021175.1,
GCA_003021235.1,ASM302123v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/235/GCA_003021235.1_ASM302123v1,GCA_003021235.1,Scaffold,ASM302123v1,PRJNA351262,SAMN06020756,GCA_003021235.1,full,Halobacteriales archaeon QH_6_64_20,na,GCA_003021235.1,
GCA_003021285.1,ASM302128v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/285/GCA_003021285.1_ASM302128v1,GCA_003021285.1,Scaffold,ASM302128v1,PRJNA351262,SAMN06020753,GCA_003021285.1,full,Halobacteriales archaeon QH_2_65_14,na,GCA_003021285.1,
GCA_003021305.1,ASM302130v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/305/GCA_003021305.1_ASM302130v1,GCA_003021305.1,Scaffold,ASM302130v1,PRJNA351262,SAMN06020752,GCA_003021305.1,full,Halobacteriales archaeon QH_10_67_22,na,GCA_003021305.1,
GCA_003021325.1,ASM302132v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/325/GCA_003021325.1_ASM302132v1,GCA_003021325.1,Scaffold,ASM302132v1,PRJNA351262,SAMN06020751,GCA_003021325.1,full,Halobacteriales archaeon QH_10_70_21,na,GCA_003021325.1,
GCA_003021335.1,ASM302133v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/335/GCA_003021335.1_ASM302133v1,GCA_003021335.1,Scaffold,ASM302133v1,PRJNA351262,SAMN06020750,GCA_003021335.1,full,Halobacteriales archaeon QH_10_67_13,na,GCA_003021335.1,
GCA_003021655.1,ASM302165v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/655/GCA_003021655.1_ASM302165v1,GCA_003021655.1,Scaffold,ASM302165v1,PRJNA351262,SAMN06020780,GCA_003021655.1,full,Halobacteriales archaeon QS_4_69_31,na,GCA_003021655.1,
GCA_003021685.1,ASM302168v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/685/GCA_003021685.1_ASM302168v1,GCA_003021685.1,Scaffold,ASM302168v1,PRJNA351262,SAMN06020779,GCA_003021685.1,full,Halobacteriales archaeon QS_4_62_28,na,GCA_003021685.1,
GCA_003021705.1,ASM302170v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/705/GCA_003021705.1_ASM302170v1,GCA_003021705.1,Scaffold,ASM302170v1,PRJNA351262,SAMN06020774,GCA_003021705.1,full,Halobacteriales archaeon QS_3_64_16,na,GCA_003021705.1,
GCA_003021725.1,ASM302172v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/725/GCA_003021725.1_ASM302172v1,GCA_003021725.1,Scaffold,ASM302172v1,PRJNA351262,SAMN06020765,GCA_003021725.1,full,Halobacteriales archaeon QH_8_64_26,na,GCA_003021725.1,
GCA_003021745.1,ASM302174v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/745/GCA_003021745.1_ASM302174v1,GCA_003021745.1,Scaffold,ASM302174v1,PRJNA351262,SAMN06020763,GCA_003021745.1,full,Halobacteriales archaeon QH_7_69_31,na,GCA_003021745.1,
GCA_003021755.1,ASM302175v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/755/GCA_003021755.1_ASM302175v1,GCA_003021755.1,Scaffold,ASM302175v1,PRJNA351262,SAMN06020764,GCA_003021755.1,full,Halobacteriales archaeon QH_8_67_36,na,GCA_003021755.1,
GCA_003021785.1,ASM302178v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/785/GCA_003021785.1_ASM302178v1,GCA_003021785.1,Scaffold,ASM302178v1,PRJNA351262,SAMN06020759,GCA_003021785.1,full,Halobacteriales archaeon QH_7_65_31,na,GCA_003021785.1,
GCA_003021975.1,ASM302197v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/975/GCA_003021975.1_ASM302197v1,GCA_003021975.1,Scaffold,ASM302197v1,PRJNA351262,SAMN06020782,GCA_003021975.1,full,Halobacteriales archaeon QS_5_70_17,na,GCA_003021975.1,
GCA_003022005.1,ASM302200v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/005/GCA_003022005.1_ASM302200v1,GCA_003022005.1,Scaffold,ASM302200v1,PRJNA351262,SAMN06020781,GCA_003022005.1,full,Halobacteriales archaeon QS_5_70_15,na,GCA_003022005.1,
GCA_003022085.1,ASM302208v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/085/GCA_003022085.1_ASM302208v1,GCA_003022085.1,Scaffold,ASM302208v1,PRJNA351262,SAMN06020749,GCA_003022085.1,full,Halobacteriales archaeon QH_10_65_19,na,GCA_003022085.1,
GCA_003022685.1,ASM302268v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/685/GCA_003022685.1_ASM302268v1,GCA_003022685.1,Scaffold,ASM302268v1,PRJNA351262,SAMN06020812,GCA_003022685.1,full,Halobacteriales archaeon SW_9_67_24,na,GCA_003022685.1,
GCA_003022725.1,ASM302272v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/725/GCA_003022725.1_ASM302272v1,GCA_003022725.1,Scaffold,ASM302272v1,PRJNA351262,SAMN06020807,GCA_003022725.1,full,Halobacteriales archaeon SW_7_65_23,na,GCA_003022725.1,
GCA_003022745.1,ASM302274v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/745/GCA_003022745.1_ASM302274v1,GCA_003022745.1,Scaffold,ASM302274v1,PRJNA351262,SAMN06020811,GCA_003022745.1,full,Halobacteriales archaeon SW_9_67_25,na,GCA_003022745.1,
GCA_003022815.1,ASM302281v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/815/GCA_003022815.1_ASM302281v1,GCA_003022815.1,Scaffold,ASM302281v1,PRJNA351262,SAMN06020802,GCA_003022815.1,full,Halobacteriales archaeon SW_5_68_122,na,GCA_003022815.1,
GCA_003022845.1,ASM302284v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/845/GCA_003022845.1_ASM302284v1,GCA_003022845.1,Scaffold,ASM302284v1,PRJNA351262,SAMN06020796,GCA_003022845.1,full,Halobacteriales archaeon SW_10_66_29,na,GCA_003022845.1,
GCA_003022865.1,ASM302286v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/865/GCA_003022865.1_ASM302286v1,GCA_003022865.1,Scaffold,ASM302286v1,PRJNA351262,SAMN06020801,GCA_003022865.1,full,Halobacteriales archaeon SW_5_70_135,na,GCA_003022865.1,
GCA_003022905.1,ASM302290v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/905/GCA_003022905.1_ASM302290v1,GCA_003022905.1,Scaffold,ASM302290v1,PRJNA351262,SAMN06020795,GCA_003022905.1,full,Halobacteriales archaeon QS_9_68_42,na,GCA_003022905.1,
GCA_003022925.1,ASM302292v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/925/GCA_003022925.1_ASM302292v1,GCA_003022925.1,Scaffold,ASM302292v1,PRJNA351262,SAMN06020789,GCA_003022925.1,full,Halobacteriales archaeon QS_8_65_32,na,GCA_003022925.1,
GCA_003022945.1,ASM302294v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/945/GCA_003022945.1_ASM302294v1,GCA_003022945.1,Scaffold,ASM302294v1,PRJNA351262,SAMN06020790,GCA_003022945.1,full,Halobacteriales archaeon QS_8_69_73,na,GCA_003022945.1,
GCA_003023165.1,ASM302316v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/023/165/GCA_003023165.1_ASM302316v1,GCA_003023165.1,Scaffold,ASM302316v1,PRJNA351262,SAMN06020794,GCA_003023165.1,full,Halobacteriales archaeon QS_9_67_15,na,GCA_003023165.1,
GCA_003023185.1,ASM302318v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/023/185/GCA_003023185.1_ASM302318v1,GCA_003023185.1,Scaffold,ASM302318v1,PRJNA351262,SAMN06020792,GCA_003023185.1,full,Halobacteriales archaeon QS_9_67_17,na,GCA_003023185.1,
GCA_003023195.1,ASM302319v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/023/195/GCA_003023195.1_ASM302319v1,GCA_003023195.1,Scaffold,ASM302319v1,PRJNA351262,SAMN06020788,GCA_003023195.1,full,Halobacteriales archaeon QS_8_69_26,na,GCA_003023195.1,
GCA_003023405.1,ASM302340v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/023/405/GCA_003023405.1_ASM302340v1,GCA_003023405.1,Scaffold,ASM302340v1,PRJNA351262,SAMN06020810,GCA_003023405.1,full,Halobacteriales archaeon SW_8_68_21,na,GCA_003023405.1,
GCA_003023465.1,ASM302346v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/023/465/GCA_003023465.1_ASM302346v1,GCA_003023465.1,Scaffold,ASM302346v1,PRJNA351262,SAMN06020803,GCA_003023465.1,full,Halobacteriales archaeon SW_6_65_15,na,GCA_003023465.1,
GCA_003023485.1,ASM302348v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/023/485/GCA_003023485.1_ASM302348v1,GCA_003023485.1,Scaffold,ASM302348v1,PRJNA351262,SAMN06020797,GCA_003023485.1,full,Halobacteriales archaeon SW_10_68_16,na,GCA_003023485.1,
GCA_003023535.1,ASM302353v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/023/535/GCA_003023535.1_ASM302353v1,GCA_003023535.1,Scaffold,ASM302353v1,PRJNA351262,SAMN06020793,GCA_003023535.1,full,Halobacteriales archaeon QS_9_70_65,na,GCA_003023535.1,
GCA_003023565.1,ASM302356v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/023/565/GCA_003023565.1_ASM302356v1,GCA_003023565.1,Scaffold,ASM302356v1,PRJNA351262,SAMN06020791,GCA_003023565.1,full,Halobacteriales archaeon QS_9_68_17,na,GCA_003023565.1,
GCA_003023785.1,ASM302378v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/023/785/GCA_003023785.1_ASM302378v1,GCA_003023785.1,Scaffold,ASM302378v1,PRJNA351262,SAMN06020783,GCA_003023785.1,full,Halobacteriales archaeon QS_5_68_33,na,GCA_003023785.1,
GCA_003034855.1,ASM303485v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/034/855/GCA_003034855.1_ASM303485v1,GCA_003034855.1,Contig,ASM303485v1,PRJNA445943,SAMN08803845,GCA_003034855.1,full,archaeon SCG-AAA382B04,na,GCA_003034855.1,
GCA_003056265.1,ASM305626v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/056/265/GCA_003056265.1_ASM305626v1,GCA_003056265.1,Contig,ASM305626v1,PRJNA363059,SAMN06648824,GCA_003056265.1,full,Desulfurococcaceae archaeon NZ3(B),na,GCA_003056265.1,
GCA_003056285.1,ASM305628v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/056/285/GCA_003056285.1_ASM305628v1,GCA_003056285.1,Contig,ASM305628v1,PRJNA381623,SAMN06715868,GCA_003056285.1,full,Aigarchaeota archaeon NZ13_MG1,na,GCA_003056285.1,
GCA_003058365.1,ASM305836v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/058/365/GCA_003058365.1_ASM305836v1,GCA_003058365.1,Complete Genome,ASM305836v1,PRJNA224116,SAMN08826612,GCA_003058365.1,full,Haloarculaceae archaeon HArcel1,na,GCF_003058365.1,
GCA_003086415.1,ASM308641v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/415/GCA_003086415.1_ASM308641v1,GCA_003086415.1,Contig,ASM308641v1,PRJNA386514,SAMN06968103,GCA_003086415.1,full,Candidatus Nanobsidianus stetteri,na,GCA_003086415.1,
GCA_003086555.1,ASM308655v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/555/GCA_003086555.1_ASM308655v1,GCA_003086555.1,Contig,ASM308655v1,PRJNA386514,SAMN06968105,GCA_003086555.1,full,Sulfolobus sp. SCGC AB-777_G06,na,GCA_003086555.1,
GCA_003096235.1,ASM309623v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/096/235/GCA_003096235.1_ASM309623v1,GCA_003096235.1,Contig,ASM309623v1,PRJNA418892,SAMN08098081,GCA_003096235.1,full,Candidatus Bathyarchaeota archaeon,na,GCA_003096235.1,
GCA_003096255.1,ASM309625v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/096/255/GCA_003096255.1_ASM309625v1,GCA_003096255.1,Contig,ASM309625v1,PRJNA418892,SAMN08098082,GCA_003096255.1,full,Candidatus Bathyarchaeota archaeon,na,GCA_003096255.1,
GCA_003104905.1,ASM310490v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/104/905/GCA_003104905.1_ASM310490v1,GCA_003104905.1,Scaffold,ASM310490v1,PRJNA378332,SAMN08364719,GCA_003104905.1,full,Candidatus Methanoperedenaceae archaeon,na,GCA_003104905.1,
GCA_003111605.1,ASM311160v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/111/605/GCA_003111605.1_ASM311160v1,GCA_003111605.1,Contig,ASM311160v1,PRJNA376688,SAMN06461353,GCA_003111605.1,full,Methanobrevibacter woesei,na,GCA_003111605.1,
GCA_003111625.1,ASM311162v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/111/625/GCA_003111625.1_ASM311162v1,GCA_003111625.1,Contig,ASM311162v1,PRJNA376687,SAMN06461352,GCA_003111625.1,full,Methanobrevibacter thaueri,na,GCA_003111625.1,
GCA_003116855.1,ASM311685v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/116/855/GCA_003116855.1_ASM311685v1,GCA_003116855.1,Scaffold,ASM311685v1,PRJNA224116,SAMD00090162,GCA_003116855.1,full,Desulfurococcaceae archaeon AG1,na,GCF_003116855.1,
GCA_003133625.1,20120500_P19,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/133/625/GCA_003133625.1_20120500_P19,GCA_003133625.1,Scaffold,20120500_P19,PRJNA386568,SAMN08179427,GCA_003133625.1,full,Candidatus Bathyarchaeota archaeon,na,GCA_003133625.1,
GCA_003135575.1,20111000_P3M,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/135/575/GCA_003135575.1_20111000_P3M,GCA_003135575.1,Scaffold,20111000_P3M,PRJNA386568,SAMN08179321,GCA_003135575.1,full,Thaumarchaeota archaeon,na,GCA_003135575.1,
GCA_003135935.1,20110800_E3D,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/135/935/GCA_003135935.1_20110800_E3D,GCA_003135935.1,Scaffold,20110800_E3D,PRJNA386568,SAMN08179069,GCA_003135935.1,full,Methanomassiliicoccaceae archaeon,na,GCA_003135935.1,
GCA_003136075.1,20120700_E1X,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/136/075/GCA_003136075.1_20120700_E1X,GCA_003136075.1,Scaffold,20120700_E1X,PRJNA386568,SAMN08179713,GCA_003136075.1,full,Methanoregula sp.,na,GCA_003136075.1,
GCA_003139855.1,20110800_S2M,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/139/855/GCA_003139855.1_20110800_S2M,GCA_003139855.1,Scaffold,20110800_S2M,PRJNA386568,SAMN08179195,GCA_003139855.1,full,Euryarchaeota archaeon,na,GCA_003139855.1,
GCA_003141335.1,20120800_E3X,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/141/335/GCA_003141335.1_20120800_E3X,GCA_003141335.1,Scaffold,20120800_E3X,PRJNA386568,SAMN08180150,GCA_003141335.1,full,Methanoregula sp.,na,GCA_003141335.1,
GCA_003141855.1,20120800_E1X,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/141/855/GCA_003141855.1_20120800_E1X,GCA_003141855.1,Scaffold,20120800_E1X,PRJNA386568,SAMN08180097,GCA_003141855.1,full,Candidatus Bathyarchaeota archaeon,na,GCA_003141855.1,
GCA_003144275.1,ASM314427v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/144/275/GCA_003144275.1_ASM314427v1,GCA_003144275.1,Scaffold,ASM314427v1,PRJNA383916,SAMN07236661,GCA_003144275.1,full,Candidatus Heimdallarchaeota archaeon B3-JM-08,na,GCA_003144275.1,
GCA_003149675.1,ASM314967v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/149/675/GCA_003149675.1_ASM314967v1,GCA_003149675.1,Contig,ASM314967v1,PRJNA224116,SAMN04867342,GCA_003149675.1,full,Methanosphaera cuniculi,na,GCF_003149675.1,
GCA_003151535.1,20120700_P3D,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/151/535/GCA_003151535.1_20120700_P3D,GCA_003151535.1,Scaffold,20120700_P3D,PRJNA386568,SAMN08179891,GCA_003151535.1,full,Methanobacterium sp.,na,GCA_003151535.1,
GCA_003151735.1,20120700_P3D,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/151/735/GCA_003151735.1_20120700_P3D,GCA_003151735.1,Scaffold,20120700_P3D,PRJNA386568,SAMN08179876,GCA_003151735.1,full,Candidatus Bathyarchaeota archaeon,na,GCA_003151735.1,
GCA_003152955.1,20120700_E3M,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/152/955/GCA_003152955.1_20120700_E3M,GCA_003152955.1,Scaffold,20120700_E3M,PRJNA386568,SAMN08179789,GCA_003152955.1,full,Candidatus Bathyarchaeota archaeon,na,GCA_003152955.1,
GCA_003153895.1,20120700_E3M,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/153/895/GCA_003153895.1_20120700_E3M,GCA_003153895.1,Scaffold,20120700_E3M,PRJNA386568,SAMN08179785,GCA_003153895.1,full,Methanomassiliicoccaceae archaeon,na,GCA_003153895.1,
GCA_003154335.1,20120700_E2X,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/154/335/GCA_003154335.1_20120700_E2X,GCA_003154335.1,Scaffold,20120700_E2X,PRJNA386568,SAMN08179748,GCA_003154335.1,full,Methanoregula sp.,na,GCA_003154335.1,
GCA_003157235.1,20120600_E3D,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/157/235/GCA_003157235.1_20120600_E3D,GCA_003157235.1,Scaffold,20120600_E3D,PRJNA386568,SAMN08179589,GCA_003157235.1,full,Methanosarcina sp.,na,GCA_003157235.1,
GCA_003157895.1,20120600_E1D,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/157/895/GCA_003157895.1_20120600_E1D,GCA_003157895.1,Scaffold,20120600_E1D,PRJNA386568,SAMN08179543,GCA_003157895.1,full,Methanoregula sp.,na,GCA_003157895.1,
GCA_003158115.1,20120600_S2D,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/158/115/GCA_003158115.1_20120600_S2D,GCA_003158115.1,Scaffold,20120600_S2D,PRJNA386568,SAMN08179660,GCA_003158115.1,full,Methanobacterium sp.,na,GCA_003158115.1,
GCA_003158275.1,20120600_E3D,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/158/275/GCA_003158275.1_20120600_E3D,GCA_003158275.1,Scaffold,20120600_E3D,PRJNA386568,SAMN08179605,GCA_003158275.1,full,Euryarchaeota archaeon,na,GCA_003158275.1,
