ncbi_genbank_assembly_accession,ncbi_assembly_name,ncbi_biosample,ncbi_organism_name,parsed_genome_accession,dataset
GCA_001798265.1,ASM179826v1,SAMN04315668,Deltaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_43_9,GCA_001798265.1,train
GCA_002342225.1,ASM234222v1,SAMN06453347,Bdellovibrionaceae bacterium UBA2466,GCA_002342225.1,train
GCA_002796345.1,ASM279634v1,SAMN06659492,Deltaproteobacteria bacterium CG11_big_fil_rev_8_21_14_0_20_42_23,GCA_002796345.1,train
GCA_001798075.1,ASM179807v1,SAMN04314865,Deltaproteobacteria bacterium RIFCSPHIGHO2_01_FULL_43_49,GCA_001798075.1,train
GCA_002796305.1,ASM279630v1,SAMN06659495,Deltaproteobacteria bacterium CG11_big_fil_rev_8_21_14_0_20_49_13,GCA_002796305.1,train
GCA_001798715.1,ASM179871v1,SAMN04316063,Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_50_16,GCA_001798715.1,train
GCA_001797365.1,ASM179736v1,SAMN04314169,Deltaproteobacteria bacterium GWA2_45_12,GCA_001797365.1,train
GCA_001311565.1,ASM131156v1,SAMD00000436,Desulfothermus okinawensis JCM 13304,GCA_001311565.1,train
GCA_000755505.1,ASM75550v1,SAMN02894305,Leptospirillum ferriphilum,GCF_000755505.1,train
GCA_002347965.1,ASM234796v1,SAMN06453794,Nitrospirae bacterium UBA2233,GCA_002347965.1,train
GCA_003142215.1,20120700_S3X,SAMN08180069,Granulicella sp.,GCA_003142215.1,train
GCA_003167255.1,20110700_P2D,SAMN08178923,Solibacterales bacterium,GCA_003167255.1,train
GCA_001767035.1,ASM176703v1,SAMN04315916,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_61_28,GCA_001767035.1,train
GCA_003161195.1,20110600_P3S,SAMN08178795,Acidobacteria bacterium,GCA_003161195.1,train
GCA_003224665.1,ASM322466v1,SAMN08912160,Acidobacteria bacterium,GCA_003224665.1,train
GCA_003222815.1,ASM322281v1,SAMN08912149,Acidobacteria bacterium,GCA_003222815.1,train
GCA_002050455.1,ASM205045v1,SAMN06350653,Acidobacteria bacterium 5-1,GCA_002050455.1,train
GCA_003222245.1,ASM322224v1,SAMN08912098,Blastocatellia bacterium AA13,GCA_003222245.1,train
GCA_001482755.1,ASM148275v1,SAMN04238703,Chloracidobacterium thermophilum,GCF_001482755.1,train
GCA_002923315.1,ASM292331v1,SAMD00093760,bacterium HR10,GCA_002923315.1,train
GCA_002451015.1,ASM245101v1,SAMN06451230,Acidobacteria bacterium UBA6911,GCA_002451015.1,train
GCA_002714165.1,ASM271416v1,SAMN07618224,Acidobacteria bacterium,GCA_002714165.1,train
GCA_003222295.1,ASM322229v1,SAMN08912114,Acidobacteria bacterium,GCA_003222295.1,train
GCA_003223145.1,ASM322314v1,SAMN08912088,Acidobacteria bacterium,GCA_003223145.1,train
GCA_001664505.1,ASM166450v1,SAMN03738170,Acidobacteria bacterium Mor1,GCA_001664505.1,train
GCA_003223995.1,ASM322399v1,SAMN08912086,Acidobacteria bacterium,GCA_003223995.1,train
GCA_002722645.1,ASM272264v1,SAMN07618230,Acidobacteria bacterium,GCA_002722645.1,train
GCA_002238705.1,ASM223870v1,SAMN05959517,Acidobacteria bacterium bin61,GCA_002238705.1,train
GCA_002279285.1,ASM227928v1,SAMN06622419,Acidobacteria bacterium 37-71-11,GCA_002279285.1,train
GCA_002327305.1,ASM232730v1,SAMN06453950,Holophagales bacterium UBA2201,GCA_002327305.1,train
GCA_002414905.1,ASM241490v1,SAMN06454168,Holophagales bacterium UBA5066,GCA_002414905.1,train
GCA_003222375.1,ASM322237v1,SAMN08912096,Acidobacteria bacterium,GCA_003222375.1,train
GCA_003231035.1,ASM323103v1,SAMN09240099,Acidobacteria bacterium,GCA_003231035.1,train
GCA_002297665.1,ASM229766v1,SAMN06452253,Holophagaceae bacterium UBA692,GCA_002297665.1,train
GCA_002747255.1,ASM274725v1,SAMN07757424,Acidobacteria bacterium,GCA_002747255.1,train
GCA_002789615.1,ASM278961v1,SAMN06660039,Acidobacteria bacterium CG_4_9_14_3_um_filter_49_7,GCA_002789615.1,train
GCA_001775755.1,ASM177575v1,SAMN04313678,Candidatus Aminicenantes bacterium RBG_19FT_COMBO_65_30,GCA_001775755.1,train
GCA_002010665.1,ASM201066v1,SAMN06226395,Candidatus Aminicenantes bacterium JdFR-78,GCA_002010665.1,train
GCA_002299555.1,ASM229955v1,SAMN06457567,Candidatus Aminicenantes bacterium UBA647,GCA_002299555.1,train
GCA_002402325.1,ASM240232v1,SAMN06453056,Candidatus Aminicenantes bacterium UBA4820,GCA_002402325.1,train
GCA_002898535.1,ASM289853v1,SAMD00093761,bacterium HR11,GCA_002898535.1,train
GCA_001784175.1,ASM178417v1,SAMN04315822,Candidatus Lindowbacteria bacterium RIFCSPLOWO2_12_FULL_62_27,GCA_001784175.1,train
GCA_002780065.1,ASM278006v1,SAMN06659243,Candidatus Hydrogenedentes bacterium CG07_land_8_20_14_0_80_42_17,GCA_002780065.1,train
GCA_002322525.1,ASM232252v1,SAMN06456192,Candidatus Omnitrophica bacterium UBA1562,GCA_002322525.1,train
GCA_002421805.1,ASM242180v1,SAMN06450707,Candidatus Omnitrophica bacterium UBA6210,GCA_002421805.1,train
GCA_002796125.1,ASM279612v1,SAMN06659521,Candidatus Omnitrophica bacterium CG11_big_fil_rev_8_21_14_0_20_42_13,GCA_002796125.1,train
GCA_001805375.1,ASM180537v1,SAMN04314109,Omnitrophica WOR_2 bacterium GWA2_47_8,GCA_001805375.1,train
GCA_003154195.1,20120700_E3M,SAMN08179760,Candidatus Omnitrophica bacterium,GCA_003154195.1,train
GCA_001805885.1,ASM180588v1,SAMN04315775,Omnitrophica WOR_2 bacterium RIFCSPLOWO2_12_FULL_51_24,GCA_001805885.1,train
GCA_002783585.1,ASM278358v1,SAMN06659948,Candidatus Omnitrophica bacterium CG_4_8_14_3_um_filter_43_15,GCA_002783585.1,train
GCA_001871815.1,ASM187181v1,SAMN04328226,Candidatus Omnitrophica bacterium CG1_02_40_15,GCA_001871815.1,train
GCA_001804045.1,ASM180404v1,SAMN04314093,Omnitrophica bacterium RBG_13_46_9,GCA_001804045.1,train
GCA_001805695.1,ASM180569v1,SAMN04315331,Omnitrophica WOR_2 bacterium RIFCSPHIGHO2_02_FULL_67_20,GCA_001805695.1,train
GCA_002787095.1,ASM278709v1,SAMN06659525,Candidatus Omnitrophica bacterium CG11_big_fil_rev_8_21_14_0_20_64_10,GCA_002787095.1,train
GCA_002779345.1,ASM277934v1,SAMN06659249,Candidatus Omnitrophica bacterium CG07_land_8_20_14_0_80_50_8,GCA_002779345.1,train
GCA_002085265.1,ASM208526v1,SAMN06624600,Candidatus Omnitrophica bacterium 4484_49,GCA_002085265.1,train
GCA_000405945.1,ASM40594v1,SAMN02440945,Candidatus Omnitrophus fodinae SCGC AAA011-A17,GCA_000405945.1,train
GCA_002085025.1,ASM208502v1,SAMN06560474,Candidatus Omnitrophica bacterium 4484_213,GCA_002085025.1,train
GCA_001730085.1,AB1_pvc,SAMN03766366,PVC group bacterium (ex Bugula neritina AB1),GCA_001730085.1,train
GCA_003167475.1,20110700_P2D,SAMN08178906,candidate division FCPU426 bacterium,GCA_003167475.1,train
GCA_001778355.1,ASM177835v1,SAMN04314352,Candidatus Firestonebacteria bacterium RIFOXYA2_FULL_40_8,GCA_001778355.1,train
GCA_003136635.1,20110800_S3S,SAMN08179243,candidate division FCPU426 bacterium,GCA_003136635.1,train
GCA_002428325.1,ASM242832v1,SAMN06453266,bacterium UBP4_UBA6127,GCA_002428325.1,train
GCA_001873945.1,ASM187394v1,SAMN04328251,Candidatus Desantisbacteria bacterium CG2_30_40_21,GCA_001873945.1,train
none,none,none,none,GCA_003498085.1,train
none,none,none,none,GCA_003485015.1,train
GCA_002478245.1,ASM247824v1,SAMN06455583,bacterium UBP18_UBA7526,GCA_002478245.1,train
GCA_001871015.1,ASM187101v1,SAMN04328222,Candidatus Desantisbacteria bacterium CG1_02_38_46,GCA_001871015.1,train
GCA_002791075.1,ASM279107v1,SAMN06660111,bacterium (Candidatus Ratteibacteria) CG_4_9_14_3_um_filter_41_21,GCA_002791075.1,train
GCA_000402295.1,ASM40229v1,SAMN02441749,Candidatus Aerophobus profundus SCGC AAA252-L23,GCA_000402295.1,train
GCA_900315795.1,Rumen uncultured genome RUG129,SAMEA104666745,uncultured Elusimicrobium sp.,GCA_900315795.1,train
none,none,none,none,GCA_003452935.1,train
GCA_001799975.1,ASM179997v1,SAMN04315054,Elusimicrobia bacterium RIFCSPLOWO2_01_FULL_54_10,GCA_001799975.1,train
GCA_002176905.1,ASM217690v1,SAMN06204671,bacterium F11,GCA_002176905.1,train
GCA_001800075.1,ASM180007v1,SAMN04315145,Elusimicrobia bacterium RIFCSPLOWO2_01_FULL_59_12,GCA_001800075.1,train
GCA_900321055.1,Rumen uncultured genome RUG658,SAMEA104666743,uncultured Elusimicrobia bacterium,GCA_900321055.1,train
GCA_002841695.1,ASM284169v1,SAMN06767663,Elusimicrobia bacterium HGW-Elusimicrobia-1,GCA_002841695.1,train
GCA_001800495.1,ASM180049v1,SAMN04314418,Elusimicrobia bacterium RIFOXYB2_FULL_48_7,GCA_001800495.1,train
GCA_002412545.1,ASM241254v1,SAMN06455354,Elusimicrobia bacterium UBA5214,GCA_002412545.1,train
GCA_002780205.1,ASM278020v1,SAMN06659217,Elusimicrobia bacterium CG06_land_8_20_14_3_00_38_11,GCA_002780205.1,train
GCA_003153935.1,20120700_E3M,SAMN08179779,Elusimicrobia bacterium,GCA_003153935.1,train
GCA_900321865.1,Rumen uncultured genome RUG730,SAMEA104666744,uncultured Elusimicrobia bacterium,GCA_900321865.1,train
GCA_002780705.1,ASM278070v1,SAMN06659190,Elusimicrobia bacterium CG03_land_8_20_14_0_80_50_18,GCA_002780705.1,train
GCA_000026045.1,ASM2604v1,SAMEA3138222,Natronomonas pharaonis DSM 2160,GCF_000026045.1,train
GCA_000243255.1,ASM24325v1,SAMN02261391,Methanoplanus limicola DSM 2279,GCF_000243255.1,train
GCA_003139855.1,20110800_S2M,SAMN08179195,Euryarchaeota archaeon,GCA_003139855.1,train
GCA_000014945.1,ASM1494v1,SAMN02598350,Methanothrix thermoacetophila PT,GCA_000014945.1,train
GCA_000011005.1,ASM1100v1,SAMD00060931,Methanocella paludicola SANAE,GCA_000011005.1,train
GCA_003160755.1,ASM316075v1,SAMN09045419,Methanomicrobiales archaeon,GCA_003160755.1,train
GCA_001766815.1,ASM176681v1,SAMN04880560,Candidatus Syntrophoarchaeum caldarius,GCA_001766815.1,train
GCA_000385565.1,ASM38556v1,SAMN02028569,Archaeoglobus sulfaticallidus PM70-1,GCF_000385565.1,train
GCA_002011165.1,ASM201116v1,SAMN06226338,Euryarchaeota archaeon JdFR-21,GCA_002011165.1,train
none,none,none,none,UBA8915,train
GCA_003034855.1,ASM303485v1,SAMN08803845,archaeon SCG-AAA382B04,GCA_003034855.1,train
GCA_002702985.1,ASM270298v1,SAMN07618773,Euryarchaeota archaeon,GCA_002702985.1,train
GCA_002715545.1,ASM271554v1,SAMN07618921,Euryarchaeota archaeon,GCA_002715545.1,train
GCA_002506485.1,ASM250648v1,SAMN06027132,Euryarchaeota archaeon UBA136,GCA_002506485.1,train
GCA_001595915.1,ASM159591v1,SAMN04495911,Thermoplasmatales archaeon SG8-52-3,GCA_001595915.1,train
none,none,none,none,UBA9293,train
GCA_002011355.1,ASM201135v1,SAMN06226360,Thermoplasmatales archaeon JdFR-43,GCA_002011355.1,train
GCA_002502685.1,ASM250268v1,SAMN06027571,Euryarchaeota archaeon UBA202,GCA_002502685.1,train
GCA_003009755.1,ASM300975v1,SAMN06020844,Thermoplasmatales archaeon SW_10_69_26,GCA_003009755.1,train
GCA_002494765.1,ASM249476v1,SAMN06027450,Euryarchaeota archaeon UBA186,GCA_002494765.1,train
GCA_002495235.1,ASM249523v1,SAMN06027064,Euryarchaeota archaeon UBA287,GCA_002495235.1,train
GCA_003161815.1,20100900_E3D,SAMN08178760,Methanobacterium sp.,GCA_003161815.1,train
GCA_000006175.2,ASM617v2,SAMN00000040,Methanococcus voltae A3,GCF_000006175.1,train
GCA_002201895.1,ASM220189v1,SAMN06246566,Methanopyrus sp. SNP6,GCA_002201895.1,train
GCA_002214485.1,ASM221448v1,SAMN03324161,Thermococcus pacificus,GCF_002214485.1,train
none,none,none,none,UBA9950,train
GCA_002923215.1,ASM292321v1,SAMD00081376,archaeon BMS3Abin16,GCA_002923215.1,train
GCA_001515205.2,ASM151520v2,SAMN04159681,Hadesarchaea archaeon YNP_45,GCA_001515205.2,train
GCA_002499005.1,ASM249900v1,SAMN06027423,Thaumarchaeota archaeon UBA164,GCA_002499005.1,train
GCA_002011075.1,ASM201107v1,SAMN06226330,Candidatus Geothermarchaeota archaeon JdFR-13,GCA_002011075.1,train
GCA_002011085.1,ASM201108v1,SAMN06226331,Candidatus Geothermarchaeota archaeon JdFR-14,GCA_002011085.1,train
GCA_002898355.1,ASM289835v1,SAMD00093751,archaeon HR01,GCA_002898355.1,train
GCA_002255045.1,ASM225504v1,SAMN06647958,Candidatus Bathyarchaeota archaeon ex4484_205,GCA_002255045.1,train
GCA_000258425.1,ASM25842v1,SAMN02603095,Fervidicoccus fontis Kam940,GCA_000258425.1,train
GCA_000565255.1,Az1,SAMN03444554,Sulfolobales archaeon AZ1,GCA_000565255.1,train
GCA_001481685.1,ASM148168v1,SAMN04316368,Ignicoccus islandicus DSM 13165,GCF_001481685.1,train
GCA_002254745.1,ASM225474v1,SAMN06647959,Desulfurococcales archaeon ex4484_217_1,GCA_002254745.1,train
GCA_000234805.1,ASM23480v1,SAMN02603094,Pyrobaculum ferrireducens,GCA_000234805.1,train
GCA_000813245.1,ASM81324v1,SAMN03274240,Thermofilum carboxyditrophus 1505,GCF_000813245.1,train
GCA_000375685.1,ASM37568v1,SAMN02256477,crenarchaeote SCGC AAA261-N23,GCA_000375685.1,train
GCA_003019595.1,ASM301959v1,SAMN06639946,Candidatus Marsarchaeota G1 archaeon BE_D,GCA_003019595.1,train
GCA_001717015.1,ASM171701v1,SAMN04994461,Candidatus Methanosuratus petracarbonis,GCA_001717015.1,train
GCA_000019605.1,ASM1960v1,SAMN02598368,Candidatus Korarchaeum cryptofilum OPF8,GCF_000019605.1,train
GCA_002825535.1,ASM282553v1,SAMN06640693,Candidatus Thorarchaeota archaeon MP9T_1,GCA_002825535.1,train
GCA_001940655.1,ASM194065v1,SAMN04958229,Candidatus Lokiarchaeota archaeon CR_4,GCA_001940655.1,train
GCA_001940665.1,ASM194066v1,SAMN04924820,Candidatus Odinarchaeota archaeon LCB_4,GCA_001940665.1,train
GCA_001940725.1,ASM194072v1,SAMN04924815,Candidatus Heimdallarchaeota archaeon LC_2,GCA_001940725.1,train
GCA_001940755.1,ASM194075v1,SAMN04924818,Candidatus Heimdallarchaeota archaeon AB_125,GCA_001940755.1,train
GCA_001940645.1,ASM194064v1,SAMN04924817,Candidatus Heimdallarchaeota archaeon LC_3,GCA_001940645.1,train
GCA_003144275.1,ASM314427v1,SAMN07236661,Candidatus Heimdallarchaeota archaeon B3-JM-08,GCA_003144275.1,train
GCA_002687795.1,ASM268779v1,SAMN07620233,Candidatus Woesearchaeota archaeon,GCA_002687795.1,train
GCA_002688355.1,ASM268835v1,SAMN07618362,archaeon,GCA_002688355.1,train
GCA_002897655.1,ASM289765v1,SAMD00081377,archaeon BMS3Abin17,GCA_002897655.1,train
none,none,none,none,UBA10117,train
GCA_002505525.1,ASM250552v1,SAMN06027561,archaeon UBA431,GCA_002505525.1,train
GCA_002412085.1,ASM241208v1,SAMN02954272,Candidatus Parvarchaeum acidophilus ARMAN-5,GCA_002412085.1,train
GCA_002779595.1,ASM277959v1,SAMN06659232,archaeon CG07_land_8_20_14_0_80_38_8,GCA_002779595.1,train
GCA_002763265.1,ASM276326v1,SAMN06659321,archaeon CG10_big_fil_rev_8_21_14_0_10_43_11,GCA_002763265.1,train
GCA_000008085.1,ASM808v1,SAMN02603208,Nanoarchaeum equitans Kin4-M,GCA_000008085.1,train
GCA_003009795.1,ASM300979v1,SAMN06020717,Nanohaloarchaea archaeon SW_7_43_1,GCA_003009795.1,train
GCA_002254415.1,ASM225441v1,SAMN06647971,Candidatus Aenigmarchaeota archaeon ex4484_52,GCA_002254415.1,train
GCA_002789275.1,ASM278927v1,SAMN06660022,archaeon (Candidatus Huberarchaea) CG_4_9_14_0_8_um_filter_31_21,GCA_002789275.1,train
GCA_002789635.1,ASM278963v1,SAMN06660041,Candidatus Aenigmarchaeota archaeon CG_4_9_14_3_um_filter_37_18,GCA_002789635.1,train
GCA_000405245.1,ASM40524v1,SAMN02440540,Candidatus Aenigmarchaeum subterraneum SCGC AAA011-O16,GCA_000405245.1,train
GCA_002688965.1,ASM268896v1,SAMN07618359,archaeon,GCA_002688965.1,train
GCA_002687935.1,ASM268793v1,SAMN07618708,Euryarchaeota archaeon,GCA_002687935.1,train
GCA_001871535.1,ASM187153v1,SAMN04328169,Candidatus Micrarchaeota archaeon CG1_02_49_24,GCA_001871535.1,train
GCA_002214165.1,ASM221416v1,SAMN06014021,Candidatus Micrarchaeota archaeon Mia14,GCF_002214165.1,train
none,none,none,none,UBA10210,train
GCA_000830275.1,ASM83027v1,SAMN03217306,archaeon GW2011_AR10,GCA_000830275.1,train
GCA_002779075.1,ASM277907v1,SAMN06659263,Candidatus Diapherotrites archaeon CG08_land_8_20_14_0_20_30_16,GCA_002779075.1,train
GCA_002254565.1,ASM225456v1,SAMN06647956,Candidatus Altiarchaeales archaeon ex4484_2,GCA_002254565.1,train
GCA_001742785.1,ASM174278v1,SAMN05386354,Candidatus Altiarchaeales archaeon IMC4,GCA_001742785.1,train
GCA_001723845.1,ASM172384v1,SAMN04979179,Candidatus Altiarchaeales archaeon WOR_SM1_SCG,GCA_001723845.1,train
GCA_001873845.1,ASM187384v1,SAMN04328315,Candidatus Altiarchaeum sp. CG2_30_32_3053,GCA_001873845.1,train
GCA_002841105.1,ASM284110v1,SAMN06767574,Candidatus Altiarchaeales archaeon HGW-Altiarchaeales-1,GCA_002841105.1,train
GCA_900078385.1,MIPYR_PRJEB13036_v1,SAMEA3906799,uncultured Microbacterium sp.,GCA_900078385.1,valid
GCA_900098805.1,Microbacterium sp. strain Alg239_V18,SAMEA4475189,Microbacteriaceae bacterium,GCF_900098805.1,valid
GCA_001639925.1,Microbacterium_sp._strain_HM58- 2_assembly01,SAMD00045526,Microbacterium sp. HM58-2,GCA_001639925.1,valid
GCA_001482305.1,ASM148230v1,SAMN04328317,Leucobacter sp. G161,GCF_001482305.1,valid
GCA_002931075.1,ASM293107v1,SAMN08438835,Pseudoclavibacter sp. AY1F1,GCF_002931075.1,valid
GCA_000224415.2,ASM22441v2,SAMN02469456,Citricoccus sp. CH26A,GCF_000224415.1,valid
GCA_900014985.1,Draft genome of Kocuria varians G6,SAMEA3489748,Kocuria varians,GCF_900014985.1,valid
GCA_001580365.1,ASM158036v1,SAMN04455734,Kocuria turfanensis,GCF_001580365.1,valid
GCA_002871995.1,ASM287199v1,SAMN07511381,Actinomyces europaeus,GCF_002871995.1,valid
GCA_900108275.1,IMG-taxon 2675903694 annotated assembly,SAMN05421751,Jhaorihella thermophila,GCF_900108275.1,valid
GCA_900302465.1,A.donghaensisCECT8599_Spades_Prokka,SAMEA104628687,Ascidiaceihabitans donghaensis,GCF_900302465.1,valid
GCA_002711145.1,ASM271114v1,SAMN07619450,Marinovum sp.,GCA_002711145.1,valid
GCA_000466965.1,ASM46696v1,SAMD00003104,Limimaricola cinnabarinus LL-001,GCF_000466965.1,valid
GCA_900172355.1,R.antarcticus_CECT7023_Spades_Prokka,SAMEA102065668,Roseisalinus antarcticus,GCF_900172355.1,valid
GCA_003056335.1,ASM305633v1,SAMN08781058,Paracoccus sp. IO390502,GCF_003056335.1,valid
GCA_000740785.1,ASM74078v1,SAMN02673274,Paenirhodobacter enshiensis,GCF_000740785.1,valid
GCA_002871005.1,ASM287100v1,SAMN08048889,Defluviimonas sp. MS2-2,GCF_002871005.1,valid
GCA_003258405.1,ASM325840v1,SAMN09228018,Rhodobacteraceae bacterium DSL-40,GCF_003258405.1,valid
GCA_001560915.1,ASM156091v1,SAMN03976563,methanogenic archaeon ISO4-H5,GCF_001560915.1,valid
GCA_001800815.1,ASM180081v1,SAMN04316249,Euryarchaeota archaeon RBG_19FT_COMBO_56_21,GCA_001800815.1,valid
GCA_002496385.1,ASM249638v1,SAMN06027036,Methanomassiliicoccales archaeon UBA147,GCA_002496385.1,valid
GCA_001800825.1,ASM180082v1,SAMN04316248,Euryarchaeota archaeon RBG_19FT_COMBO_69_17,GCA_001800825.1,valid
GCA_002503985.1,ASM250398v1,SAMN06027266,Thermoplasmata archaeon UBA61,GCA_002503985.1,valid
GCA_002078355.1,ASM207835v1,SAMN03952737,Ferroplasma acidiphilum,GCF_002078355.1,valid
GCA_000327505.1,ASM32750v1,SAMN02261429,Aciduliprofundum sp. MAR08-339,GCF_000327505.1,valid
GCA_002878135.1,ASM287813v1,SAMN08107308,Aciduliprofundum sp.,GCA_002878135.1,valid
GCA_002254385.1,ASM225438v1,SAMN06647974,Thermoplasmatales archaeon ex4484_6,GCA_002254385.1,valid
GCA_002254765.1,ASM225476v1,SAMN06647967,Thermoplasmatales archaeon ex4484_36,GCA_002254765.1,valid
GCA_002779555.1,ASM277955v1,SAMN06659235,Candidatus Bathyarchaeota archaeon CG07_land_8_20_14_0_80_47_9,GCA_002779555.1,valid
GCA_002255025.1,ASM225502v1,SAMN06647950,Candidatus Bathyarchaeota archaeon ex4484_135,GCA_002255025.1,valid
GCA_001776015.1,ASM177601v1,SAMN04316258,Candidatus Bathyarchaeota archaeon RBG_16_57_9,GCA_001776015.1,valid
GCA_001593875.1,ASM159387v1,SAMN04412732,Candidatus Bathyarchaeota archaeon B23,GCA_001593875.1,valid
GCA_001775955.1,ASM177595v1,SAMN04316269,Candidatus Bathyarchaeota archaeon RBG_13_38_9,GCA_001775955.1,valid
GCA_001775995.1,ASM177599v1,SAMN04316259,Candidatus Bathyarchaeota archaeon RBG_16_48_13,GCA_001775995.1,valid
GCA_002254975.1,ASM225497v1,SAMN06647961,Candidatus Bathyarchaeota archaeon ex4484_218,GCA_002254975.1,valid
GCA_001593865.1,ASM159386v1,SAMN04412733,Candidatus Bathyarchaeota archaeon B24,GCA_001593865.1,valid
GCA_001428745.1,Root227,SAMN04155765,Leifsonia sp. Root227,GCF_001428745.1,test
GCA_002929805.1,ASM292980v1,SAMN08153823,Cryobacterium sp. Y50,GCF_002929805.1,test
GCA_002797855.1,ASM279785v1,SAMN07621076,Compostimonas suwonensis,GCF_002797855.1,test
GCA_000685965.1,ASM68596v1,SAMN02743368,Arthrobacter sp. UNC362MFTsu5.1,GCF_000685965.1,test
GCA_000328305.2,Arthrobacter crystallopoitesv3.1,SAMN02469858,Arthrobacter crystallopoietes BAB-32,GCF_000328305.2,test
GCA_900187855.1,PRJEB20853,SAMEA104129612,Actinomyces minihominis,GCF_900187855.1,test
GCA_000758825.1,04_NF40_HMP1631v01,SAMN02850927,Arcanobacterium sp. S3PF19,GCF_000758825.1,test
GCA_900105765.1,IMG-taxon 2634166281 annotated assembly,SAMN04488554,Haloactinobacterium album,GCF_900105765.1,test
GCA_002407065.1,ASM240706v1,SAMN07303563,Brachybacterium ginsengisoli,GCF_002407065.1,test
GCA_000152965.1,ASM15296v1,SAMN02436137,Roseobacter sp. MED193,GCF_000152965.1,test
GCA_001458395.1,L.aquaemixtaeCECT8399_CISA_Prokka,SAMEA3539551,Leisingera aquaemixtae,GCF_001458395.1,test
GCA_900102535.1,IMG-taxon 2634166359 annotated assembly,SAMN04489759,Sulfitobacter delicatus,GCF_900102535.1,test
GCA_000526275.1,ASM52627v1,SAMN02584927,Oceanicola sp. HL-35,GCF_000526275.1,test
GCA_002783145.1,ASM278314v1,SAMN06659604,Rhodobacteraceae bacterium CG17_big_fil_post_rev_8_21_14_2_50_65_11,GCA_002783145.1,test
GCA_002079305.1,ASM207930v1,SAMN04579687,Rhodovulum sp. P5,GCF_002079305.1,test
GCA_000299575.1,ASM29957v1,SAMN02471016,Oceaniovalibus guishaninsula JLT2003,GCF_000299575.1,test
GCA_003056725.1,ASM305672v1,SAMN08730605,Mangrovicoccus ximenensis,GCF_003056725.1,test
GCA_002359815.1,ASM235981v1,SAMN06451096,Paracoccus sp. UBA2633,GCA_002359815.1,test
GCA_000970025.1,ASM97002v1,SAMN03074575,Methanosarcina barkeri MS,GCF_000970025.1,test
GCA_001304615.1,ASM130461v1,SAMN04074913,Methanosarcina flavescens,GCF_001304615.1,test
GCA_000007345.1,ASM734v1,SAMN03081414,Methanosarcina acetivorans C2A,GCF_000007345.1,test
none,none,none,none,UBA9310,test
GCA_000504205.1,ASM50420v1,SAMN02597164,Methanolobus tindarius DSM 2278,GCF_000504205.1,test
GCA_001896725.1,ASM189672v1,SAMN06019024,Methanococcoides sp. EBM-47,GCA_001896725.1,test
GCA_000217995.1,ASM21799v1,SAMN02232039,Methanosalsum zhilinae DSM 4017,GCF_000217995.1,test
none,none,none,none,UBA10536,test
GCA_002255135.1,ASM225513v1,SAMN06647951,Methanosarcinales archaeon ex4484_138,GCA_002255135.1,test
GCA_002156965.1,ASM215696v1,SAMN05730076,Candidatus Nitrosomarinus catalina,GCF_002156965.1,test
GCA_001510295.1,ASM151029v1,SAMN03733546,Thaumarchaeota archaeon casp-thauma4,GCA_001510295.1,test
GCA_002698885.1,ASM269888v1,SAMN07620158,Thaumarchaeota archaeon,GCA_002698885.1,test
GCA_001443365.1,ASM144336v1,SAMN03462092,Thaumarchaeota archaeon CSP1-1,GCA_001443365.1,test
GCA_000955905.3,ASM95590v3,SAMN03286947,Candidatus Nitrosotenuis cloacae,GCF_000955905.1,test
GCA_000303155.1,ASM30315v1,SAMN02603264,Candidatus Nitrososphaera gargensis Ga9.2,GCA_000303155.1,test
GCA_002494895.1,ASM249489v1,SAMN06027106,Nitrososphaera sp. UBA210,GCA_002494895.1,test
GCA_000802205.2,ASM80220v2,SAMN03074222,Candidatus Nitrocosmicus oleophilus,GCA_000802205.2,test
GCA_001870125.1,ASM187012v1,SAMN04606696,Candidatus Nitrosocosmicus exaquare,GCA_001870125.1,test
