ncbi_assembly_name,ncbi_genbank_assembly_accession,ncbi_bioproject,ncbi_biosample,ncbi_assembly_level,ncbi_organism_name,ncbi_refseq_category,ncbi_genome_representation,parsed_genome_accession,# assembly_accession,ftp_path,asm_name
ASM283970v1,GCA_002839705.1,PRJNA321556,SAMN06767733,Scaffold,Methanobacteriales archaeon HGW-Methanobacteriales-1,na,full,GCA_002839705.1,GCA_002839705.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/839/705/GCA_002839705.1_ASM283970v1,ASM283970v1
ASM284110v1,GCA_002841105.1,PRJNA321556,SAMN06767574,Scaffold,Candidatus Altiarchaeales archaeon HGW-Altiarchaeales-1,na,full,GCA_002841105.1,GCA_002841105.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/841/105/GCA_002841105.1_ASM284110v1,ASM284110v1
ASM284419v1,GCA_002844195.1,PRJNA224116,SAMN07633033,Scaffold,Haloferacaceae archaeon SYSU A9-0,na,full,GCF_002844195.1,GCA_002844195.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/844/195/GCA_002844195.1_ASM284419v1,ASM284419v1
ASM284433v1,GCA_002844335.1,PRJNA224116,SAMN06200074,Complete Genome,Haloarcula taiwanensis,na,full,GCF_002844335.1,GCA_002844335.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/844/335/GCA_002844335.1_ASM284433v1,ASM284433v1
ASM285574v1,GCA_002855745.1,PRJNA381623,SAMN06688848,Contig,Thermofilum sp. NZ13,na,full,GCA_002855745.1,GCA_002855745.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/855/745/GCA_002855745.1_ASM285574v1,ASM285574v1
ASM286747v1,GCA_002867475.1,PRJNA387015,SAMN07982670,Scaffold,Candidatus Woesearchaeota archaeon,na,full,GCA_002867475.1,GCA_002867475.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/867/475/GCA_002867475.1_ASM286747v1,ASM286747v1
ASM287785v1,GCA_002877855.1,PRJNA419931,SAMN08107328,Contig,Caldisphaera sp.,na,full,GCA_002877855.1,GCA_002877855.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/877/855/GCA_002877855.1_ASM287785v1,ASM287785v1
ASM287813v1,GCA_002878135.1,PRJNA419931,SAMN08107308,Contig,Aciduliprofundum sp.,na,full,GCA_002878135.1,GCA_002878135.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/878/135/GCA_002878135.1_ASM287813v1,ASM287813v1
ASM289765v1,GCA_002897655.1,PRJDB5792,SAMD00081377,Contig,archaeon BMS3Abin17,na,full,GCA_002897655.1,GCA_002897655.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/897/655/GCA_002897655.1_ASM289765v1,ASM289765v1
ASM289795v1,GCA_002897955.1,PRJDB5792,SAMD00081392,Contig,archaeon BMS3Bbin15,na,full,GCA_002897955.1,GCA_002897955.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/897/955/GCA_002897955.1_ASM289795v1,ASM289795v1
ASM289835v1,GCA_002898355.1,PRJDB6348,SAMD00093751,Contig,archaeon HR01,na,full,GCA_002898355.1,GCA_002898355.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/898/355/GCA_002898355.1_ASM289835v1,ASM289835v1
ASM289839v1,GCA_002898395.1,PRJDB6348,SAMD00093752,Contig,archaeon HR02,na,full,GCA_002898395.1,GCA_002898395.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/898/395/GCA_002898395.1_ASM289839v1,ASM289839v1
ASM289865v1,GCA_002898655.1,PRJDB6348,SAMD00093754,Contig,archaeon HR04,na,full,GCA_002898655.1,GCA_002898655.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/898/655/GCA_002898655.1_ASM289865v1,ASM289865v1
ASM289980v1,GCA_002899805.1,PRJNA419931,SAMN08107307,Contig,Fervidicoccus sp.,na,full,GCA_002899805.1,GCA_002899805.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/899/805/GCA_002899805.1_ASM289980v1,ASM289980v1
ASM290053v1,GCA_002900535.1,PRJNA360036,SAMN06205424,Contig,Thermoplasmata archaeon M9B1D,na,full,GCA_002900535.1,GCA_002900535.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/900/535/GCA_002900535.1_ASM290053v1,ASM290053v1
ASM290055v1,GCA_002900555.1,PRJNA360036,SAMN06205425,Contig,Thermoplasmata archaeon M9B2D,na,full,GCA_002900555.1,GCA_002900555.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/900/555/GCA_002900555.1_ASM290055v1,ASM290055v1
ASM290657v1,GCA_002906575.1,PRJNA224116,SAMN08381148,Complete Genome,Salinigranum rubrum,na,full,GCF_002906575.1,GCA_002906575.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/906/575/GCA_002906575.1_ASM290657v1,ASM290657v1
ASM292321v1,GCA_002923215.1,PRJDB5792,SAMD00081376,Contig,archaeon BMS3Abin16,na,full,GCA_002923215.1,GCA_002923215.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/923/215/GCA_002923215.1_ASM292321v1,ASM292321v1
ASM292619v1,GCA_002926195.1,PRJNA290197,SAMN06562579,Scaffold,ANME-2 cluster archaeon HR1,na,full,GCA_002926195.1,GCA_002926195.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/926/195/GCA_002926195.1_ASM292619v1,ASM292619v1
ASM294532v1,GCA_002945325.1,PRJNA224116,SAMN08466362,Complete Genome,Methanococcus maripaludis,na,full,GCF_002945325.1,GCA_002945325.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/945/325/GCA_002945325.1_ASM294532v1,ASM294532v1
ASM300975v1,GCA_003009755.1,PRJNA351262,SAMN06020844,Scaffold,Thermoplasmatales archaeon SW_10_69_26,na,full,GCA_003009755.1,GCA_003009755.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/009/755/GCA_003009755.1_ASM300975v1,ASM300975v1
ASM300979v1,GCA_003009795.1,PRJNA351262,SAMN06020717,Contig,Nanohaloarchaea archaeon SW_7_43_1,na,full,GCA_003009795.1,GCA_003009795.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/009/795/GCA_003009795.1_ASM300979v1,ASM300979v1
ASM300981v1,GCA_003009815.1,PRJNA351262,SAMN06020716,Scaffold,Nanohaloarchaea archaeon SW_4_43_9,na,full,GCA_003009815.1,GCA_003009815.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/009/815/GCA_003009815.1_ASM300981v1,ASM300981v1
ASM301953v1,GCA_003019535.1,PRJNA362583,SAMN06639949,Contig,Candidatus Marsarchaeota G2 archaeon ECH_B_1,na,full,GCA_003019535.1,GCA_003019535.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/019/535/GCA_003019535.1_ASM301953v1,ASM301953v1
ASM301959v1,GCA_003019595.1,PRJNA362583,SAMN06639946,Contig,Candidatus Marsarchaeota G1 archaeon BE_D,na,full,GCA_003019595.1,GCA_003019595.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/019/595/GCA_003019595.1_ASM301959v1,ASM301959v1
ASM302092v1,GCA_003020925.1,PRJNA351262,SAMN06020784,Scaffold,Halobacteriales archaeon QS_6_64_34,na,full,GCA_003020925.1,GCA_003020925.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/020/925/GCA_003020925.1_ASM302092v1,ASM302092v1
ASM302094v1,GCA_003020945.1,PRJNA351262,SAMN06020785,Scaffold,Halobacteriales archaeon QS_6_71_20,na,full,GCA_003020945.1,GCA_003020945.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/020/945/GCA_003020945.1_ASM302094v1,ASM302094v1
ASM302096v1,GCA_003020965.1,PRJNA351262,SAMN06020776,Scaffold,Halobacteriales archaeon QS_4_69_225,na,full,GCA_003020965.1,GCA_003020965.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/020/965/GCA_003020965.1_ASM302096v1,ASM302096v1
ASM302098v1,GCA_003020985.1,PRJNA351262,SAMN06020777,Scaffold,Halobacteriales archaeon QS_4_70_19,na,full,GCA_003020985.1,GCA_003020985.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/020/985/GCA_003020985.1_ASM302098v1,ASM302098v1
ASM302100v1,GCA_003021005.1,PRJNA351262,SAMN06020773,Scaffold,Halobacteriales archaeon QS_1_69_70,na,full,GCA_003021005.1,GCA_003021005.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/005/GCA_003021005.1_ASM302100v1,ASM302100v1
ASM302101v1,GCA_003021015.1,PRJNA351262,SAMN06020775,Scaffold,Halobacteriales archaeon QS_4_66_20,na,full,GCA_003021015.1,GCA_003021015.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/015/GCA_003021015.1_ASM302101v1,ASM302101v1
ASM302104v1,GCA_003021045.1,PRJNA351262,SAMN06020778,Scaffold,Halobacteriales archaeon QS_4_69_34,na,full,GCA_003021045.1,GCA_003021045.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/045/GCA_003021045.1_ASM302104v1,ASM302104v1
ASM302108v1,GCA_003021085.1,PRJNA351262,SAMN06020769,Scaffold,Halobacteriales archaeon QS_1_68_20,na,full,GCA_003021085.1,GCA_003021085.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/085/GCA_003021085.1_ASM302108v1,ASM302108v1
ASM302110v1,GCA_003021105.1,PRJNA351262,SAMN06020771,Scaffold,Halobacteriales archaeon QS_1_68_17,na,full,GCA_003021105.1,GCA_003021105.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/105/GCA_003021105.1_ASM302110v1,ASM302110v1
ASM302117v1,GCA_003021175.1,PRJNA351262,SAMN06020760,Scaffold,Halobacteriales archaeon QH_7_66_36,na,full,GCA_003021175.1,GCA_003021175.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/175/GCA_003021175.1_ASM302117v1,ASM302117v1
ASM302123v1,GCA_003021235.1,PRJNA351262,SAMN06020756,Scaffold,Halobacteriales archaeon QH_6_64_20,na,full,GCA_003021235.1,GCA_003021235.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/235/GCA_003021235.1_ASM302123v1,ASM302123v1
ASM302128v1,GCA_003021285.1,PRJNA351262,SAMN06020753,Scaffold,Halobacteriales archaeon QH_2_65_14,na,full,GCA_003021285.1,GCA_003021285.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/285/GCA_003021285.1_ASM302128v1,ASM302128v1
ASM302130v1,GCA_003021305.1,PRJNA351262,SAMN06020752,Scaffold,Halobacteriales archaeon QH_10_67_22,na,full,GCA_003021305.1,GCA_003021305.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/305/GCA_003021305.1_ASM302130v1,ASM302130v1
ASM302132v1,GCA_003021325.1,PRJNA351262,SAMN06020751,Scaffold,Halobacteriales archaeon QH_10_70_21,na,full,GCA_003021325.1,GCA_003021325.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/325/GCA_003021325.1_ASM302132v1,ASM302132v1
ASM302133v1,GCA_003021335.1,PRJNA351262,SAMN06020750,Scaffold,Halobacteriales archaeon QH_10_67_13,na,full,GCA_003021335.1,GCA_003021335.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/335/GCA_003021335.1_ASM302133v1,ASM302133v1
ASM302165v1,GCA_003021655.1,PRJNA351262,SAMN06020780,Scaffold,Halobacteriales archaeon QS_4_69_31,na,full,GCA_003021655.1,GCA_003021655.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/655/GCA_003021655.1_ASM302165v1,ASM302165v1
ASM302168v1,GCA_003021685.1,PRJNA351262,SAMN06020779,Scaffold,Halobacteriales archaeon QS_4_62_28,na,full,GCA_003021685.1,GCA_003021685.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/685/GCA_003021685.1_ASM302168v1,ASM302168v1
ASM302170v1,GCA_003021705.1,PRJNA351262,SAMN06020774,Scaffold,Halobacteriales archaeon QS_3_64_16,na,full,GCA_003021705.1,GCA_003021705.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/705/GCA_003021705.1_ASM302170v1,ASM302170v1
ASM302172v1,GCA_003021725.1,PRJNA351262,SAMN06020765,Scaffold,Halobacteriales archaeon QH_8_64_26,na,full,GCA_003021725.1,GCA_003021725.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/725/GCA_003021725.1_ASM302172v1,ASM302172v1
ASM302174v1,GCA_003021745.1,PRJNA351262,SAMN06020763,Scaffold,Halobacteriales archaeon QH_7_69_31,na,full,GCA_003021745.1,GCA_003021745.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/745/GCA_003021745.1_ASM302174v1,ASM302174v1
ASM302175v1,GCA_003021755.1,PRJNA351262,SAMN06020764,Scaffold,Halobacteriales archaeon QH_8_67_36,na,full,GCA_003021755.1,GCA_003021755.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/755/GCA_003021755.1_ASM302175v1,ASM302175v1
ASM302178v1,GCA_003021785.1,PRJNA351262,SAMN06020759,Scaffold,Halobacteriales archaeon QH_7_65_31,na,full,GCA_003021785.1,GCA_003021785.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/785/GCA_003021785.1_ASM302178v1,ASM302178v1
ASM302197v1,GCA_003021975.1,PRJNA351262,SAMN06020782,Scaffold,Halobacteriales archaeon QS_5_70_17,na,full,GCA_003021975.1,GCA_003021975.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/021/975/GCA_003021975.1_ASM302197v1,ASM302197v1
ASM302200v1,GCA_003022005.1,PRJNA351262,SAMN06020781,Scaffold,Halobacteriales archaeon QS_5_70_15,na,full,GCA_003022005.1,GCA_003022005.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/005/GCA_003022005.1_ASM302200v1,ASM302200v1
ASM302208v1,GCA_003022085.1,PRJNA351262,SAMN06020749,Scaffold,Halobacteriales archaeon QH_10_65_19,na,full,GCA_003022085.1,GCA_003022085.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/085/GCA_003022085.1_ASM302208v1,ASM302208v1
ASM302268v1,GCA_003022685.1,PRJNA351262,SAMN06020812,Scaffold,Halobacteriales archaeon SW_9_67_24,na,full,GCA_003022685.1,GCA_003022685.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/685/GCA_003022685.1_ASM302268v1,ASM302268v1
ASM302272v1,GCA_003022725.1,PRJNA351262,SAMN06020807,Scaffold,Halobacteriales archaeon SW_7_65_23,na,full,GCA_003022725.1,GCA_003022725.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/725/GCA_003022725.1_ASM302272v1,ASM302272v1
ASM302274v1,GCA_003022745.1,PRJNA351262,SAMN06020811,Scaffold,Halobacteriales archaeon SW_9_67_25,na,full,GCA_003022745.1,GCA_003022745.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/745/GCA_003022745.1_ASM302274v1,ASM302274v1
ASM302281v1,GCA_003022815.1,PRJNA351262,SAMN06020802,Scaffold,Halobacteriales archaeon SW_5_68_122,na,full,GCA_003022815.1,GCA_003022815.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/815/GCA_003022815.1_ASM302281v1,ASM302281v1
ASM302284v1,GCA_003022845.1,PRJNA351262,SAMN06020796,Scaffold,Halobacteriales archaeon SW_10_66_29,na,full,GCA_003022845.1,GCA_003022845.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/845/GCA_003022845.1_ASM302284v1,ASM302284v1
ASM302286v1,GCA_003022865.1,PRJNA351262,SAMN06020801,Scaffold,Halobacteriales archaeon SW_5_70_135,na,full,GCA_003022865.1,GCA_003022865.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/865/GCA_003022865.1_ASM302286v1,ASM302286v1
ASM302290v1,GCA_003022905.1,PRJNA351262,SAMN06020795,Scaffold,Halobacteriales archaeon QS_9_68_42,na,full,GCA_003022905.1,GCA_003022905.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/905/GCA_003022905.1_ASM302290v1,ASM302290v1
ASM302292v1,GCA_003022925.1,PRJNA351262,SAMN06020789,Scaffold,Halobacteriales archaeon QS_8_65_32,na,full,GCA_003022925.1,GCA_003022925.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/925/GCA_003022925.1_ASM302292v1,ASM302292v1
ASM302294v1,GCA_003022945.1,PRJNA351262,SAMN06020790,Scaffold,Halobacteriales archaeon QS_8_69_73,na,full,GCA_003022945.1,GCA_003022945.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/022/945/GCA_003022945.1_ASM302294v1,ASM302294v1
ASM302316v1,GCA_003023165.1,PRJNA351262,SAMN06020794,Scaffold,Halobacteriales archaeon QS_9_67_15,na,full,GCA_003023165.1,GCA_003023165.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/023/165/GCA_003023165.1_ASM302316v1,ASM302316v1
ASM302318v1,GCA_003023185.1,PRJNA351262,SAMN06020792,Scaffold,Halobacteriales archaeon QS_9_67_17,na,full,GCA_003023185.1,GCA_003023185.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/023/185/GCA_003023185.1_ASM302318v1,ASM302318v1
ASM302319v1,GCA_003023195.1,PRJNA351262,SAMN06020788,Scaffold,Halobacteriales archaeon QS_8_69_26,na,full,GCA_003023195.1,GCA_003023195.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/023/195/GCA_003023195.1_ASM302319v1,ASM302319v1
ASM302340v1,GCA_003023405.1,PRJNA351262,SAMN06020810,Scaffold,Halobacteriales archaeon SW_8_68_21,na,full,GCA_003023405.1,GCA_003023405.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/023/405/GCA_003023405.1_ASM302340v1,ASM302340v1
ASM302346v1,GCA_003023465.1,PRJNA351262,SAMN06020803,Scaffold,Halobacteriales archaeon SW_6_65_15,na,full,GCA_003023465.1,GCA_003023465.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/023/465/GCA_003023465.1_ASM302346v1,ASM302346v1
ASM302348v1,GCA_003023485.1,PRJNA351262,SAMN06020797,Scaffold,Halobacteriales archaeon SW_10_68_16,na,full,GCA_003023485.1,GCA_003023485.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/023/485/GCA_003023485.1_ASM302348v1,ASM302348v1
ASM302353v1,GCA_003023535.1,PRJNA351262,SAMN06020793,Scaffold,Halobacteriales archaeon QS_9_70_65,na,full,GCA_003023535.1,GCA_003023535.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/023/535/GCA_003023535.1_ASM302353v1,ASM302353v1
ASM302356v1,GCA_003023565.1,PRJNA351262,SAMN06020791,Scaffold,Halobacteriales archaeon QS_9_68_17,na,full,GCA_003023565.1,GCA_003023565.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/023/565/GCA_003023565.1_ASM302356v1,ASM302356v1
ASM302378v1,GCA_003023785.1,PRJNA351262,SAMN06020783,Scaffold,Halobacteriales archaeon QS_5_68_33,na,full,GCA_003023785.1,GCA_003023785.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/023/785/GCA_003023785.1_ASM302378v1,ASM302378v1
ASM303485v1,GCA_003034855.1,PRJNA445943,SAMN08803845,Contig,archaeon SCG-AAA382B04,na,full,GCA_003034855.1,GCA_003034855.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/034/855/GCA_003034855.1_ASM303485v1,ASM303485v1
ASM305626v1,GCA_003056265.1,PRJNA363059,SAMN06648824,Contig,Desulfurococcaceae archaeon NZ3(B),na,full,GCA_003056265.1,GCA_003056265.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/056/265/GCA_003056265.1_ASM305626v1,ASM305626v1
ASM305628v1,GCA_003056285.1,PRJNA381623,SAMN06715868,Contig,Aigarchaeota archaeon NZ13_MG1,na,full,GCA_003056285.1,GCA_003056285.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/056/285/GCA_003056285.1_ASM305628v1,ASM305628v1
ASM305836v1,GCA_003058365.1,PRJNA224116,SAMN08826612,Complete Genome,Haloarculaceae archaeon HArcel1,na,full,GCF_003058365.1,GCA_003058365.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/058/365/GCA_003058365.1_ASM305836v1,ASM305836v1
ASM308641v1,GCA_003086415.1,PRJNA386514,SAMN06968103,Contig,Candidatus Nanobsidianus stetteri,na,full,GCA_003086415.1,GCA_003086415.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/415/GCA_003086415.1_ASM308641v1,ASM308641v1
ASM308655v1,GCA_003086555.1,PRJNA386514,SAMN06968105,Contig,Sulfolobus sp. SCGC AB-777_G06,na,full,GCA_003086555.1,GCA_003086555.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/555/GCA_003086555.1_ASM308655v1,ASM308655v1
ASM309623v1,GCA_003096235.1,PRJNA418892,SAMN08098081,Contig,Candidatus Bathyarchaeota archaeon,na,full,GCA_003096235.1,GCA_003096235.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/096/235/GCA_003096235.1_ASM309623v1,ASM309623v1
ASM309625v1,GCA_003096255.1,PRJNA418892,SAMN08098082,Contig,Candidatus Bathyarchaeota archaeon,na,full,GCA_003096255.1,GCA_003096255.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/096/255/GCA_003096255.1_ASM309625v1,ASM309625v1
ASM310490v1,GCA_003104905.1,PRJNA378332,SAMN08364719,Scaffold,Candidatus Methanoperedenaceae archaeon,na,full,GCA_003104905.1,GCA_003104905.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/104/905/GCA_003104905.1_ASM310490v1,ASM310490v1
ASM311160v1,GCA_003111605.1,PRJNA376688,SAMN06461353,Contig,Methanobrevibacter woesei,na,full,GCA_003111605.1,GCA_003111605.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/111/605/GCA_003111605.1_ASM311160v1,ASM311160v1
ASM311162v1,GCA_003111625.1,PRJNA376687,SAMN06461352,Contig,Methanobrevibacter thaueri,na,full,GCA_003111625.1,GCA_003111625.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/111/625/GCA_003111625.1_ASM311162v1,ASM311162v1
ASM311685v1,GCA_003116855.1,PRJNA224116,SAMD00090162,Scaffold,Desulfurococcaceae archaeon AG1,na,full,GCF_003116855.1,GCA_003116855.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/116/855/GCA_003116855.1_ASM311685v1,ASM311685v1
20120500_P19,GCA_003133625.1,PRJNA386568,SAMN08179427,Scaffold,Candidatus Bathyarchaeota archaeon,na,full,GCA_003133625.1,GCA_003133625.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/133/625/GCA_003133625.1_20120500_P19,20120500_P19
20111000_P3M,GCA_003135575.1,PRJNA386568,SAMN08179321,Scaffold,Thaumarchaeota archaeon,na,full,GCA_003135575.1,GCA_003135575.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/135/575/GCA_003135575.1_20111000_P3M,20111000_P3M
20110800_E3D,GCA_003135935.1,PRJNA386568,SAMN08179069,Scaffold,Methanomassiliicoccaceae archaeon,na,full,GCA_003135935.1,GCA_003135935.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/135/935/GCA_003135935.1_20110800_E3D,20110800_E3D
20120700_E1X,GCA_003136075.1,PRJNA386568,SAMN08179713,Scaffold,Methanoregula sp.,na,full,GCA_003136075.1,GCA_003136075.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/136/075/GCA_003136075.1_20120700_E1X,20120700_E1X
20110800_S2M,GCA_003139855.1,PRJNA386568,SAMN08179195,Scaffold,Euryarchaeota archaeon,na,full,GCA_003139855.1,GCA_003139855.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/139/855/GCA_003139855.1_20110800_S2M,20110800_S2M
20120800_E3X,GCA_003141335.1,PRJNA386568,SAMN08180150,Scaffold,Methanoregula sp.,na,full,GCA_003141335.1,GCA_003141335.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/141/335/GCA_003141335.1_20120800_E3X,20120800_E3X
20120800_E1X,GCA_003141855.1,PRJNA386568,SAMN08180097,Scaffold,Candidatus Bathyarchaeota archaeon,na,full,GCA_003141855.1,GCA_003141855.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/141/855/GCA_003141855.1_20120800_E1X,20120800_E1X
ASM314427v1,GCA_003144275.1,PRJNA383916,SAMN07236661,Scaffold,Candidatus Heimdallarchaeota archaeon B3-JM-08,na,full,GCA_003144275.1,GCA_003144275.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/144/275/GCA_003144275.1_ASM314427v1,ASM314427v1
ASM314967v1,GCA_003149675.1,PRJNA224116,SAMN04867342,Contig,Methanosphaera cuniculi,na,full,GCF_003149675.1,GCA_003149675.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/149/675/GCA_003149675.1_ASM314967v1,ASM314967v1
20120700_P3D,GCA_003151535.1,PRJNA386568,SAMN08179891,Scaffold,Methanobacterium sp.,na,full,GCA_003151535.1,GCA_003151535.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/151/535/GCA_003151535.1_20120700_P3D,20120700_P3D
20120700_P3D,GCA_003151735.1,PRJNA386568,SAMN08179876,Scaffold,Candidatus Bathyarchaeota archaeon,na,full,GCA_003151735.1,GCA_003151735.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/151/735/GCA_003151735.1_20120700_P3D,20120700_P3D
20120700_E3M,GCA_003152955.1,PRJNA386568,SAMN08179789,Scaffold,Candidatus Bathyarchaeota archaeon,na,full,GCA_003152955.1,GCA_003152955.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/152/955/GCA_003152955.1_20120700_E3M,20120700_E3M
20120700_E3M,GCA_003153895.1,PRJNA386568,SAMN08179785,Scaffold,Methanomassiliicoccaceae archaeon,na,full,GCA_003153895.1,GCA_003153895.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/153/895/GCA_003153895.1_20120700_E3M,20120700_E3M
20120700_E2X,GCA_003154335.1,PRJNA386568,SAMN08179748,Scaffold,Methanoregula sp.,na,full,GCA_003154335.1,GCA_003154335.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/154/335/GCA_003154335.1_20120700_E2X,20120700_E2X
